保费规模档,件数,年总保费(HKD),年总保费件均,年总保费占比,融资年总保费占比
<5万,113,2348495.13,20783.14274336283,0.001002768200367298,0.0
5-20万,348,43892947.94,126129.16074712643,0.018741555753027814,0.0
20-50万,408,137575147.8,337193.9897058824,0.05874229058957898,0.0
50-100万,154,110659581.83,718568.7131818181,0.047249793413481275,0.0
100万+,182,2047535798.9,11250196.697252749,0.8742635920435445,0.9056669978596875
合计,1205,2342011971.6000004,1943578.39966805,1.0,0.7917916827441036
