APE规模档,件数,APE,APE占比,APE件均,融资APE占比
<3万,98,1583847.25,0.002558970372446202,16161.706632653062,0.0
3-15万,244,20728138.48,0.03348977765771419,84951.38721311475,0.0
15-40万,534,151283027.7,0.24442305641422055,283301.55,0.005155898925732566
40-80万,178,121589496.0,0.19644818517989407,683087.0561797753,0.14113061213774586
80万+,151,323754758.9,0.5230800103757248,2144071.2509933775,0.6277237767577415
合计,1205,618939268.33,1.0,513642.54633195023,0.3573348328613067
