年期分类,件数,APE,年总保费(HKD),APE件均,年总保费件均,件数占比
中期(2-5年),1021,434210017.44,434210017.44,425279.1551811949,425279.1551811949,0.8466003316749585
短期(≤1年),93,43182628.34,429556780.4,464329.33698924736,4618890.1118279565,0.07711442786069651
终身(>20年),28,651749.12,651749.12,23276.754285714287,23276.754285714287,0.02321724709784411
长期(6-20年),57,2147161.6,2147161.6,37669.501754385965,37669.501754385965,0.0472636815920398
合计,1206,480825349.7,867199501.76,398694.31981757877,719070.8969817578,1.0
