供款方式,件数,APE,年总保费(HKD),APE件均,年总保费件均,件数占比
年缴,685,202604481.72000003,202604481.72000003,295772.96601459855,295772.96601459855,0.5679933665008292
整付,91,42930461.339999996,429304613.4,471763.3114285714,4717633.114285714,0.07545605306799337
预缴,430,235290406.64,235290406.64,547186.9921860464,547186.9921860464,0.35655058043117743
合计,1206,480825349.7,867199501.76,398694.31981757877,719070.8969817578,1.0
