from_period,to_period,metric_id,prior_value,current_value,absolute_change,growth_rate,rate_status,interpretation_status
2025Q1,2026Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,9606609448.562096,10269241203.145178,662631754.5830822,0.06897665176575529,calculated,descriptive_only
2025Q1,2026Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,47325527.803054,91170509.84751895,43844982.04446495,0.9264552151837926,calculated,descriptive_only
2025Q1,2026Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,127902066.242767,150911424.98886135,23009358.746094346,0.17989825670541548,calculated,descriptive_only
2025Q1,2026Q1,IF_GROUP_NON_RETIREMENT_POLICIES,16175,15394,-781,-0.048284389489953616,calculated,descriptive_only
2025Q1,2026Q1,IF_GROUP_NON_RETIREMENT_LIVES,1489810,1270521,-219289,-0.14719259502889626,calculated,descriptive_only
2025Q1,2026Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,0,0,,both_zero_no_rate,no_rate
2025Q1,2026Q1,IF_GROUP_NON_RETIREMENT_NON_SINGLE_PREMIUM_RECEIVABLE,2127748.18162,2212759.49054,85011.30892000021,0.039953651308152205,calculated,descriptive_only
2025Q1,2026Q1,IF_RETIREMENT_SCHEMES,355421,361394,5973,0.016805422302002437,calculated,descriptive_only
2025Q1,2026Q1,IF_RETIREMENT_ENDING_FUND_BALANCE,124513123.60485,131447874.55668122,6934750.951831222,0.05569494002768005,calculated,descriptive_only
2025Q1,2026Q1,IF_RETIREMENT_SINGLE_CONTRIBUTIONS,9827336,10033196,205860,0.020947691215605024,calculated,descriptive_only
2025Q1,2026Q1,IF_RETIREMENT_NON_SINGLE_CONTRIBUTIONS,1902258.75573,2072765.26377,170506.50804,0.08963370915045021,calculated,descriptive_only
