period,metric_id,value,unit,period_basis,comparability,source_sheet,source_range
2025Q1,NB_GROUP_LIVES,201727,count,flow_during_period,directly_comparable_by_label_with_outlier_review,Table L2,D78
2025Q1,NB_GROUP_SINGLE_PREMIUM,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,E78
2025Q1,NB_GROUP_ANNUALIZED_PREMIUM,99356.473328,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,F78
2025Q1,IF_IND_TOTAL_POLICIES,15748256,count,stock_at_period_end,comparable_with_schema_bridge,Table L3,O78
2025Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,9606609448.562096,HKD_thousand,stock_at_period_end,comparable_with_schema_bridge,Table L3,P78
2025Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,47325527.803054,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3,Q78
2025Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,127902066.242767,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3,R78
2025Q1,IF_GROUP_NON_RETIREMENT_POLICIES,16175,count,stock_at_period_end,directly_comparable_by_label,Table L4,C77
2025Q1,IF_GROUP_NON_RETIREMENT_LIVES,1489810,count,stock_at_period_end,directly_comparable_by_label,Table L4,D77
2025Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,E77
2025Q1,IF_GROUP_NON_RETIREMENT_NON_SINGLE_PREMIUM_RECEIVABLE,2127748.18162,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,F77
2025Q1,IF_RETIREMENT_SCHEMES,355421,count,stock_at_period_end,directly_comparable_by_label,Table L4,G77
2025Q1,IF_RETIREMENT_ENDING_FUND_BALANCE,124513123.60485,HKD_thousand,stock_at_period_end,directly_comparable_by_label,Table L4,H77
2025Q1,IF_RETIREMENT_SINGLE_CONTRIBUTIONS,9827336,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,I77
2025Q1,IF_RETIREMENT_NON_SINGLE_CONTRIBUTIONS,1902258.75573,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,J77
2026Q1,NB_IND_TOTAL_SINGLE_PREMIUM,90464756.0226957,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L1,I78
2026Q1,NB_IND_TOTAL_ANNUALIZED_PREMIUM,50576625.9556103,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L1,J78
2026Q1,NB_GROUP_POLICIES,471,count,flow_during_period,directly_comparable_by_label,Table L2,C78
2026Q1,NB_GROUP_LIVES,30430,count,flow_during_period,directly_comparable_by_label_with_outlier_review,Table L2,D78
2026Q1,NB_GROUP_SINGLE_PREMIUM,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,E78
2026Q1,NB_GROUP_ANNUALIZED_PREMIUM,89520.19628499201,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,F78
2026Q1,IF_IND_TOTAL_POLICIES,16139623,count,stock_at_period_end,comparable_with_schema_bridge,Table L3,O78
2026Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,10269241203.145178,HKD_thousand,stock_at_period_end,comparable_with_schema_bridge,Table L3,P78
2026Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,91170509.84751895,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3,Q78
2026Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,150911424.98886135,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3,R78
2026Q1,IF_GROUP_NON_RETIREMENT_POLICIES,15394,count,stock_at_period_end,directly_comparable_by_label,Table L4,C77
2026Q1,IF_GROUP_NON_RETIREMENT_LIVES,1270521,count,stock_at_period_end,directly_comparable_by_label,Table L4,D77
2026Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,E77
2026Q1,IF_GROUP_NON_RETIREMENT_NON_SINGLE_PREMIUM_RECEIVABLE,2212759.49054,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,F77
2026Q1,IF_RETIREMENT_SCHEMES,361394,count,stock_at_period_end,directly_comparable_by_label,Table L4,G77
2026Q1,IF_RETIREMENT_ENDING_FUND_BALANCE,131447874.55668122,HKD_thousand,stock_at_period_end,directly_comparable_by_label,Table L4,H77
2026Q1,IF_RETIREMENT_SINGLE_CONTRIBUTIONS,10033196,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,I77
2026Q1,IF_RETIREMENT_NON_SINGLE_CONTRIBUTIONS,2072765.26377,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,J77
