业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
天领业务,135100000.0,0.3744283644707624,50585272.04,159,7766896.8,18,540415.2,5,58892584.04,182
成事家办,56000000.0,0.10802299285714285,6049287.6,29,970460.4,4,0.0,0,7019748.0,33
BK业务,200000000.0,1.1556756003,231135120.06,201,27378000.0,35,2340000.0,4,260853120.06,240
同行经代,140000000.0,0.5491269717142858,76877776.04,221,18643087.279999997,44,6555910.0,13,102076773.32000001,278
永明经代,340000000.0,0.4511828304117647,153402162.34,412,20027979.15,52,4162756.2,12,177592897.69,476
合伙转介业务,51100000.0,0.07915679530332681,4044912.2399999998,20,4322532.8,5,2367.0,1,8369812.039999999,26
ICLUB业务,36400000.0,0.016615716483516483,604812.08,6,0.0,0,0.0,0,604812.08,6
IFA业务,17500000.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
合计,976100000.0,0.535497738346481,522699342.40000004,1048,79108956.42999999,158,13601448.399999999,35,615409747.23,1241
