KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
民生银行,189473760.06,174,17698200.0,24,1560000.0,3,208731960.06,201
平安银行,41661360.0,27,10920000.0,14,780000.0,1,53361360.0,42
合计,231135120.06,201,28618200.0,38,2340000.0,4,262093320.06,243
