业务细分,2026-01_APE,2026-01_件数,2026-02_APE,2026-02_件数,2026-03_APE,2026-03_件数,2026-04_APE,2026-04_件数,2026-05_APE,2026-05_件数,2026-06_APE,2026-06_件数,2026-07_APE,2026-07_件数,2026-08_APE,2026-08_件数,2026-09_APE,2026-09_件数,2026-10_APE,2026-10_件数,2026-11_APE,2026-11_件数,2026-12_APE,2026-12_件数,合计_APE,合计_件数
天领业务,4957951.26,23,11212508.0,16,12130125.0,27,9932424.879999999,30,19873161.049999997,47,7254315.510000001,37,7377400.0,14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,72737885.69999999,194
成事家办,1023000.0,6,390000.0,1,312000.0,2,1893479.4,8,2973000.0,13,819000.0,4,268460.4,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7678939.800000001,36
BK业务,17138160.0,16,8377200.0,10,13260000.0,18,8502000.0,14,6864000.0,10,10444200.0,20,12480000.0,20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,77065560.0,108
同行经代,2588316.0,13,7495200.0,16,15827670.08,51,22637057.240000002,59,27516726.78,89,34778324.48,88,39130151.84,102,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,149973446.42,418
永明经代,13744355.2,43,15183069.9,51,27606120.0,78,14796900.0,31,20377965.0,50,23879073.270000003,73,10055170.2,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,125642653.57000001,359
合伙转介业务,89809.2,1,436800.0,2,2043746.9300000002,10,420091.8,3,44748.6,2,4075720.0,5,255987.19999999998,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7366903.7299999995,27
ICLUB业务,2390000.0,2,12109200.08,4,1800000.0,1,18813.6,1,4008798.4,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20326812.08,10
IFA业务,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
合计,41931591.66,104,55203977.980000004,100,72979662.01,187,58200766.92,146,81658399.83,213,81250633.26,227,69567169.64,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,460792201.29999995,1152
