业务细分,2026-01_APE,2026-01_件数,2026-02_APE,2026-02_件数,2026-03_APE,2026-03_件数,2026-04_APE,2026-04_件数,2026-05_APE,2026-05_件数,2026-06_APE,2026-06_件数,2026-07_APE,2026-07_件数,2026-08_APE,2026-08_件数,2026-09_APE,2026-09_件数,2026-10_APE,2026-10_件数,2026-11_APE,2026-11_件数,2026-12_APE,2026-12_件数,合计_APE,合计_件数
天领业务,1725539.4,14,3212508.0,12,10838958.0,22,8698424.88,24,17539245.049999997,36,7004715.510000001,35,3198000.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,52217390.839999996,152
成事家办,1023000.0,6,390000.0,1,312000.0,2,690479.4,5,2583000.0,12,741000.0,3,268460.4,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6007939.800000001,31
BK业务,17138160.0,16,8377200.0,10,13260000.0,18,8502000.0,14,6084000.0,9,9984000.0,18,12480000.0,20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,75825360.0,105
同行经代,2568004.8,12,6559200.0,13,13927207.88,39,14121532.5,37,14630616.780000001,51,18538739.48,46,10525123.2,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,80870424.64,231
永明经代,13744355.2,43,15183069.9,51,27606120.0,78,14796900.0,31,20377965.0,50,23879073.270000003,73,10055170.2,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,125642653.57000001,359
合伙转介业务,89809.2,1,436800.0,2,1834800.0,6,420091.8,3,44748.6,2,4056000.0,3,1988.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6884237.6,18
ICLUB业务,390000.0,1,109200.08,2,0.0,0,18813.6,1,8798.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,526812.08,5
IFA业务,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
合计,36678868.6,93,34267977.98,91,67779085.88,165,47248242.18,115,61268373.83,161,64203528.260000005,178,36528741.8,98,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,347974818.53000003,901
