业务细分,2026-01_APE,2026-01_件数,2026-02_APE,2026-02_件数,2026-03_APE,2026-03_件数,2026-04_APE,2026-04_件数,2026-05_APE,2026-05_件数,2026-06_APE,2026-06_件数,2026-07_APE,2026-07_件数,2026-08_APE,2026-08_件数,2026-09_APE,2026-09_件数,2026-10_APE,2026-10_件数,2026-11_APE,2026-11_件数,2026-12_APE,2026-12_件数,合计_APE,合计_件数
天领业务,5315778.0,23,2871047.4,19,3276000.0,11,14356169.88,31,5302878.65,28,15264541.499999998,31,4198856.61,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50585272.04,159
成事家办,1344687.6,5,390000.0,2,468000.0,2,912600.0,5,1794000.0,11,399000.0,1,741000.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6049287.6,29
BK业务,18259800.0,25,93940080.0,67,58699680.0,42,27222000.0,30,21703560.060000002,16,6240000.0,13,5070000.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,231135120.06,201
同行经代,14650438.68,34,5652000.0,14,4431004.8,15,12814772.18,41,16599278.58,39,13961463.0,44,8768818.8,34,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,76877776.03999999,221
永明经代,45962575.2,101,20312450.92,65,13530549.9,53,28835640.0,67,10849140.0,29,12472925.52,40,21438880.799999997,57,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,153402162.34,412
合伙转介业务,569265.84,4,897000.0,2,126600.0,2,1755000.0,5,574297.8,4,0.0,0,122748.6,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4044912.2399999998,20
ICLUB业务,78000.0,1,0.0,0,499200.08,3,0.0,0,27612.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,604812.0800000001,6
IFA业务,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
合计,86180545.32000001,193,124062578.32000001,169,81031034.78,128,85896182.06,179,56850767.09,129,48337930.019999996,129,40340304.809999995,121,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,522699342.4,1048
