指标行,件数,APE,年总保费(HKD),件均APE,融资占比
批核(2025),1645,616841098.5941999,885970240.416,374979.3912426747,0.022492401215805473
批核(2026),1205,618939268.33,2342011971.6000004,513642.54633195023,0.1045643153526971
未批核(跨年),260,123714140.47,278069557.27,475823.61719230766,0.057692307692307696
待签(跨年),55,20033148.4,22841148.4,364239.06181818177,0.0
流失(2026),97,34167370.61,42907270.61,352240.9341237113,0.010309278350515464
