A. 目标达成率 | Target Achievement Rate,,,,
📌 按目标类型统计2026年批核APE（issue_year=2026），计算达成率,,,,
指标,目标APE,已达成APE,目标达成率,完成进度
2026全业务目标,1113000000,733599708,65.9%,65.9%
2026永明业务目标,976100000,590922604,60.5%,60.5%

B. 顶部KPI汇总 | Top KPI Summary,,,,,
📌 批核(2025/2026):status=生效+issue_year；未批核:IN(尚欠/已签/pending/待批核)；待签:排期；流失(2026):流失+sign_year=2026,,,,,
指标行,件数,APE,年总保费(HKD),件均APE,融资占比
H. 永明业绩汇报数据-2026 | Sunlife Performance Report,,,,,,,,,,,
📌 批核=status=生效+issue_ym；未批核=IN(尚欠/已签/pending/待批核)；已递交=submit_ym=当月；carrier=香港永明金融有限公司；EG=key_account=EGA,,,,,,,,,,,
牌照,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,未批核,本月已递交
JF,45864040,14898238,13683605,39498810,22239091,27296607,20298107,13629513,2832000,17479870,2156470
UNIWIN,21654896,15146260,8647750,15182795,12814548,14801323,20376526,22777434,6728400,21006067,2542693
DW-Non-Bank,401809,78000,0,482577,93569,0,78000,0,46293,158902,0
EG,0,0,0,0,0,0,0,0,0,0,0
Sub Total,67920745,30122498,22331355,55164182,35147207,42097930,40752633,36406946,9606693,38644839,4699163
DW Bank,18259800,93940080,58699680,27222000,21703560,6240000,7020000,10218000,4559295,30030000,7289295

