KEY ACCOUNT,2025-10,2025-11,2025-12,2026-06,2026-07,合计
平安银行,780000.0,0.0,0.0,3900000.0,2340000.0,7020000.0
民生银行,1560000.0,3900000.0,780000.0,0.0,0.0,6240000.0
天领成都,0.0,0.0,0.0,0.0,4000000.0,4000000.0
合计,2340000.0,3900000.0,780000.0,3900000.0,6340000.0,17260000.0
