时效分档,件数,APE,件数占比,APE占比
≤7天,126,35843324.08,0.1045643153526971,0.05791089031515351
8-14天,269,89457998.62,0.2232365145228216,0.14453437226785174
15-30天,476,192387109.45,0.3950207468879668,0.31083358140951706
31-60天,199,104230378.02,0.16514522821576763,0.16840162412255844
61-90天,50,70119171.7,0.04149377593360996,0.11328926000961785
>90天,84,126725786.46000001,0.06970954356846473,0.20474672224615353
合计,1205,618939268.33,1.0,1.0
