指标,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,合计
预约 APE,6673951.26,9730508.0,13350825.0,8852124.879999999,20966705.449999996,6410371.109999999,7488815.2,0.0,73473300.89999999
预约 件数,25.0,15.0,30.0,29.0,55.0,28.0,18.0,0.0,200.0
签单 APE,4957951.26,11212508.0,12130125.0,9932424.879999999,19873161.049999997,7254315.510000001,7377400.0,0.0,72737885.69999999
签单 件数,23.0,16.0,27.0,30.0,47.0,37.0,14.0,0.0,194.0
批核 APE,6761792.7,10518447.56,6294167.0,16601975.18,6022561.25,17112774.9,4471856.609999999,0.0,67783575.19999999
批核 件数,29.0,27.0,15.0,36.0,37.0,38.0,18.0,0.0,200.0
