指标,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,合计
预约 APE,2826800.0,12189000.08,3782760.53,4420091.8,53547.0,4075720.0,258354.19999999998,0.0,27606273.61
预约 件数,4.0,5.0,11.0,4.0,3.0,5.0,5.0,0.0,37.0
签单 APE,2479809.2,12546000.08,3843746.93,438905.4,4053546.9999999995,4075720.0,255987.19999999998,0.0,27693715.81
签单 件数,3.0,6.0,11.0,4.0,4.0,5.0,4.0,0.0,37.0
批核 APE,2658185.84,12897000.0,834747.01,1755000.0,6401909.8,0.0,368668.6,0.0,24915511.250000004
批核 件数,7.0,4.0,9.0,5.0,8.0,0.0,6.0,0.0,39.0
