KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
个人转介,18526812.08,9,0.0,0,0.0,0,18526812.08,9
保险师,1800000.0,1,0.0,0,0.0,0,1800000.0,1
新风,78000.0,1,0.0,0,0.0,0,78000.0,1
合计,20404812.08,11,0.0,0,0.0,0,20404812.08,11
