保司,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
永明,159,29,201,221,412,20,6,0,1048
安盛,4,1,0,53,0,0,0,0,58
立桥,11,1,0,27,0,1,0,0,40
澳门中国人寿,8,0,0,4,0,0,5,0,17
万通,1,1,0,8,0,0,0,0,10
友邦,6,1,0,1,0,0,0,0,8
太平洋,2,0,0,3,0,2,0,0,7
中银人寿,1,0,0,2,0,1,0,0,4
宏利,3,0,0,0,0,1,0,0,4
中国人寿,2,1,0,0,0,0,0,0,3
保柏（亚洲）有限公司,0,0,0,0,0,2,0,0,2
保诚,1,0,0,0,0,0,0,0,1
安达人寿保险有限公司,0,0,0,0,0,1,0,0,1
微蓝保险有限公司,1,0,0,0,0,0,0,0,1
忠意保险有限公司,1,0,0,0,0,0,0,0,1
合计,200,34,201,319,412,28,11,0,1205
