保司,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
永明,5,0,4,13,12,1,0,0,35
安盛,0,0,0,18,0,0,0,0,18
立桥,1,0,0,1,0,0,0,0,2
合计,6,0,4,32,12,1,0,0,55
