保单号,签单日,批核日,时效(天),牌照,KA,保司,产品,年期,APE,状态
611203244,2025-10-28,2026-02-12,107,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222895,2025-11-12,2026-02-27,107,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,7800000.0,生效
602068889,2025-09-30,2026-01-15,107,九富保险服务有限,万森保险,永明,万年青·星河尊享保险计划II,2,117000.0,生效
611208857,2025-11-12,2026-02-26,106,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222892,2025-11-26,2026-03-12,106,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222932,2025-12-05,2026-03-20,105,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
611222908,2025-11-13,2026-02-25,104,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602069549,2026-04-02,2026-07-15,104,九富保险服务有限,天誉国际,永明,万年青·星河尊享保险计划II,5,390000.0,生效
611222910,2025-11-14,2026-02-25,103,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611210803,2025-12-18,2026-03-31,103,众和恒富理财集团,臻略财富,永明,万年青·星河尊享保险计划II,2,780000.0,生效
611222947,2025-11-14,2026-02-24,102,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222946,2025-11-14,2026-02-23,101,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
611222920,2025-11-18,2026-02-27,101,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611222918,2025-11-18,2026-02-27,101,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611222916,2025-11-17,2026-02-25,100,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222914,2025-11-17,2026-02-25,100,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1170000.0,生效
611210806,2026-01-27,2026-05-06,99,众和恒富理财集团,臻略财富,永明,万年青·星河尊享保险计划II,2,390000.0,生效
611222846,2025-11-26,2026-03-05,99,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,920400.0,生效
611222874,2025-11-20,2026-02-27,99,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222818,2025-11-18,2026-02-25,99,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611222854,2025-11-13,2026-02-20,99,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222864,2025-11-21,2026-02-27,98,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222922,2025-11-20,2026-02-24,96,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
